OBJECTID,RIA_RTE_ID,RTE_GRID,GID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,RDBD_ID,DI,CO,CITY,MPA,UAN,UAN_HPMS,RU,ADMIN,F_SYSTEM,RU_F_SYSTEM,SEC_NHS,SEC_NHS_APRV_DT,SEC_STR,HWY_STAT,HWY_DES,NUM_LANES,TRF_STA_ID,ADT_YEAR,ADT_CUR,ADT_ADJ,HY_1,HY_2,HY_3,HY_4,HY_5,HY_6,HY_7,HY_8,HY_9,HP_VOL_GRP,LEN_SEC,LN_MILES,DVMT,Shape__Length
117562,IH0069-UG,153720,1636934424,28.219,33.117,IH0069,IH,69,UG,12,102,19750,15,15,40429,4,1,1,U1,0,20230801,0,6,5,1,102H120A,2023,265276,265276,258901,268500,255714,297342,300345,300045,308403,283888,278322,12,4.898,4.898,1299321.848,9071.270967
122598,IH0635-UG,153719,1639440746,23.133,26.368,IH0635,IH,635,UG,18,57,10850,282,282,22042,4,1,1,U1,0,,0,6,5,3,57SP170,2023,260970,260970,249717,182667,187018,192802,203804,183139,183558,175678,195906,12,3.235,9.705,844237.95,6198.742974
120236,IH0635-NG,153719,1639526981,23.125,26.359,IH0635,IH,635,NG,18,57,10850,282,282,22042,4,1,1,U1,0,,0,6,5,3,57SP170,2023,260970,260970,249717,182667,187018,192802,203804,183139,183558,175678,195906,12,3.234,9.702,843976.98,6197.751201
115916,IH0069-UG,153720,1636934424,22.229,26.136,IH0069,IH,69,UG,12,102,19750,15,15,40429,4,1,1,U1,0,20230801,0,6,5,1,102H176,2023,175553,175553,160360,156152,141956,171032,178158,174547,184602,182445,173247,11,3.907,3.907,685885.571,7252.503989
250036,US0290-UG,154759,1637625674,262.884,266.371,US0290,US,290,UG,12,102,21050,15,15,40429,4,1,2,U2,0,,0,6,5,1,102H68,2023,193836,193836,195769,178998,159820,188024,186162,185698,185698,158882,160487,11,3.487,3.487,675906.132,6477.671472
116700,IH0069-UG,153720,1638921779,49.601,52.731,IH0069,IH,69,UG,12,102,19750,15,15,40429,4,1,1,U1,0,,0,6,5,1,102H45,2023,209688,209688,198386,194898,177180,201341,196003,197022,191973,182998,145069,11,3.13,3.13,656323.44,5835.447645
119033,IH0045-UG,153716,1638748869,34.641,38.164,IH0045,IH,45,UG,12,102,19750,15,15,40429,4,1,1,U1,0,,0,6,5,1,102H197,2023,179131,179131,157828,159378,132815,158114,156549,155770,160440,165157,144984,11,3.523,3.523,631078.513,6541.436323
117278,IH0069-UG,153720,1638921779,45.953,48.939,IH0069,IH,69,UG,12,102,0,15,15,40429,4,1,1,U1,0,,0,6,5,1,102H85,2023,207404,207404,188530,190704,173367,201590,197219,197265,192631,184173,153142,11,2.986,2.986,619308.344,5563.915794
121242,IH0635-NG,153719,1639526981,19.883,21.887,IH0635,IH,635,NG,18,57,10850,282,282,22042,4,1,1,U1,0,,0,6,5,2,57H63507,2023,302301,302301,276624,232004,214926,0,0,0,0,0,0,12,2.004,4.008,605811.204,3837.989106
119568,IH0069-UG,153720,1638921779,41.464,44.053,IH0069,IH,69,UG,12,102,19750,15,15,40429,4,1,1,U1,0,,0,6,5,1,102S226,2023,231227,231227,206423,202375,183977,213927,212561,211767,208858,169000,159585,11,2.589,2.589,598646.703,4824.229381